trip_id,origin_stop_id,dest_stop_id,origin_name,dest_name,passenger_count,transfers_count,preferred_hour
1,STOP-001,STOP-005,SRM Ramapuram,Guindy,80,0,17
2,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,114,1,18
3,STOP-005,STOP-016,Guindy,Chennai Central,24,0,8
4,STOP-005,STOP-016,Guindy,Chennai Central,18,0,19
5,STOP-014,STOP-013,Porur,Koyambedu CMBT,117,0,8
6,STOP-014,STOP-013,Porur,Koyambedu CMBT,103,0,9
7,STOP-010,STOP-016,Vadapalani,Chennai Central,96,0,19
8,STOP-020,STOP-042,Velachery,Siruseri IT Park,67,0,9
9,STOP-021,STOP-005,Tambaram,Guindy,78,0,8
10,STOP-014,STOP-013,Porur,Koyambedu CMBT,66,0,8
11,STOP-021,STOP-005,Tambaram,Guindy,31,0,8
12,STOP-005,STOP-016,Guindy,Chennai Central,59,0,17
13,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,18,1,17
14,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,66,1,19
15,STOP-021,STOP-005,Tambaram,Guindy,57,0,17
16,STOP-005,STOP-016,Guindy,Chennai Central,105,0,18
17,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,35,1,8
18,STOP-014,STOP-013,Porur,Koyambedu CMBT,70,0,19
19,STOP-010,STOP-016,Vadapalani,Chennai Central,110,0,17
20,STOP-001,STOP-005,SRM Ramapuram,Guindy,43,0,10
21,STOP-020,STOP-042,Velachery,Siruseri IT Park,61,0,19
22,STOP-020,STOP-042,Velachery,Siruseri IT Park,92,0,10
23,STOP-021,STOP-005,Tambaram,Guindy,37,0,17
24,STOP-021,STOP-005,Tambaram,Guindy,64,0,19
25,STOP-005,STOP-016,Guindy,Chennai Central,17,0,8
26,STOP-005,STOP-016,Guindy,Chennai Central,61,0,8
27,STOP-020,STOP-042,Velachery,Siruseri IT Park,57,0,9
28,STOP-001,STOP-005,SRM Ramapuram,Guindy,109,0,17
29,STOP-021,STOP-005,Tambaram,Guindy,97,0,8
30,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,108,1,10
31,STOP-014,STOP-013,Porur,Koyambedu CMBT,119,0,17
32,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,102,1,10
33,STOP-001,STOP-005,SRM Ramapuram,Guindy,68,0,17
34,STOP-021,STOP-005,Tambaram,Guindy,53,0,9
35,STOP-010,STOP-016,Vadapalani,Chennai Central,72,0,9
36,STOP-020,STOP-042,Velachery,Siruseri IT Park,81,0,10
37,STOP-021,STOP-005,Tambaram,Guindy,17,0,17
38,STOP-020,STOP-042,Velachery,Siruseri IT Park,106,0,19
39,STOP-014,STOP-013,Porur,Koyambedu CMBT,49,0,19
40,STOP-001,STOP-005,SRM Ramapuram,Guindy,83,0,18
41,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,57,1,9
42,STOP-001,STOP-005,SRM Ramapuram,Guindy,61,0,8
43,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,88,1,9
44,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,83,1,8
45,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,16,1,10
46,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,20,1,18
47,STOP-014,STOP-013,Porur,Koyambedu CMBT,23,0,9
48,STOP-001,STOP-005,SRM Ramapuram,Guindy,94,0,18
49,STOP-010,STOP-016,Vadapalani,Chennai Central,70,0,18
50,STOP-021,STOP-005,Tambaram,Guindy,54,0,17
51,STOP-020,STOP-042,Velachery,Siruseri IT Park,51,0,18
52,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,65,1,10
53,STOP-010,STOP-016,Vadapalani,Chennai Central,66,0,8
54,STOP-014,STOP-013,Porur,Koyambedu CMBT,112,0,10
55,STOP-021,STOP-005,Tambaram,Guindy,81,0,18
56,STOP-005,STOP-016,Guindy,Chennai Central,109,0,9
57,STOP-021,STOP-005,Tambaram,Guindy,82,0,9
58,STOP-020,STOP-042,Velachery,Siruseri IT Park,75,0,18
59,STOP-005,STOP-016,Guindy,Chennai Central,66,0,10
60,STOP-014,STOP-013,Porur,Koyambedu CMBT,113,0,19
61,STOP-020,STOP-042,Velachery,Siruseri IT Park,45,0,9
62,STOP-010,STOP-016,Vadapalani,Chennai Central,51,0,18
63,STOP-014,STOP-013,Porur,Koyambedu CMBT,59,0,8
64,STOP-001,STOP-005,SRM Ramapuram,Guindy,16,0,19
65,STOP-020,STOP-042,Velachery,Siruseri IT Park,16,0,9
66,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,23,1,19
67,STOP-021,STOP-005,Tambaram,Guindy,24,0,19
68,STOP-021,STOP-005,Tambaram,Guindy,62,0,10
69,STOP-005,STOP-016,Guindy,Chennai Central,101,0,19
70,STOP-001,STOP-005,SRM Ramapuram,Guindy,94,0,10
71,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,111,1,8
