officer_id,name,department,designation,office_location,verification_status,trust_score,verified_date,photo_url
TN-POL-10001,Rajesh Kumar,Tamil Nadu Police,Traffic Police Inspector,Chennai Traffic Division - Guindy,ACTIVE,4.7,2026-08-10,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=150&auto=format&fit=crop&q=80
TN-POL-10002,Anitha Ramesh,Tamil Nadu Police,Assistant Commissioner,Ashok Nagar Police Station,ACTIVE,4.9,2026-08-01,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=80
TN-POL-10003,Suresh Pitchai,Tamil Nadu Police,Sub-Inspector,Koyambedu Police Station,ACTIVE,4.2,2026-07-15,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=150&auto=format&fit=crop&q=80
TN-POL-10004,Karthik Subramanian,Tamil Nadu Police,Head Constable,T. Nagar Traffic Control,SUSPENDED,2.1,2026-06-20,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=150&auto=format&fit=crop&q=80
TN-POL-10005,Meena Sundaram,Tamil Nadu Police,Traffic Police Sub-Inspector,Tambaram Traffic Station,ACTIVE,4.6,2026-08-05,https://images.unsplash.com/photo-1580489944761-15a19d654956?w=150&auto=format&fit=crop&q=80
TN-POL-10006,Venkatesh Prasad,Tamil Nadu Police,Inspector of Police,Adyar Police Station,ACTIVE,4.8,2026-08-08,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=150&auto=format&fit=crop&q=80
TN-POL-10007,Dinesh Karthik,Tamil Nadu Police,Traffic Sub-Inspector,Porur Junction Traffic Unit,ACTIVE,4.3,2026-07-30,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=150&auto=format&fit=crop&q=80
TN-POL-10008,Priya Vijay,Tamil Nadu Police,Sub-Inspector,Vadapalani Police Station,ACTIVE,4.5,2026-08-02,https://images.unsplash.com/photo-1534528741775-53994a69daeb?w=150&auto=format&fit=crop&q=80
TN-REV-20001,Murugan Chettiar,Revenue Department,Tahsildar,Guindy Taluk Office,ACTIVE,4.4,2026-07-10,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?w=150&auto=format&fit=crop&q=80
TN-REV-20002,Lakshmi Narayanan,Registration Dept (SRO),Sub-Registrar,Ashok Nagar SRO,ACTIVE,4.6,2026-08-03,https://images.unsplash.com/photo-1544005313-94ddf0286df2?w=150&auto=format&fit=crop&q=80
TN-REV-20003,Balamurugan K,Registration Dept (SRO),Sub-Registrar Officer,Saidapet SRO Office,ACTIVE,4.1,2026-06-18,https://images.unsplash.com/photo-1501196354995-cbb51c65aaea?w=150&auto=format&fit=crop&q=80
TN-REV-20004,Ramesh Chandran,Revenue Department,Village Administrative Officer (VAO),Ramapuram Revenue Circle,ACTIVE,4.5,2026-07-28,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?w=150&auto=format&fit=crop&q=80
TN-REV-20005,Deepa Selvam,Revenue Department,Deputy Tahsildar,Mambalam Taluk Office,SUSPENDED,1.8,2026-05-10,https://images.unsplash.com/photo-1567532939604-b6b5b0db2604?w=150&auto=format&fit=crop&q=80
TN-TNP-30001,Saravanan R,Transport Department,Regional Transport Officer (RTO),Chennai South RTO (KK Nagar),ACTIVE,4.7,2026-08-04,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?w=150&auto=format&fit=crop&q=80
TN-TNP-30002,Gajendran M,TANGEDCO (Electricity Board),Assistant Executive Engineer,Guindy EB Section Office,ACTIVE,4.3,2026-07-22,https://images.unsplash.com/photo-1521119989659-a83eee488004?w=150&auto=format&fit=crop&q=80
TN-TNP-30003,Kavitha Rajan,Transport Department,Motor Vehicle Inspector,Virugambakkam RTO Unit,ACTIVE,4.5,2026-08-07,https://images.unsplash.com/photo-1517841905240-472988babdf9?w=150&auto=format&fit=crop&q=80
TN-TNP-30004,Sundararaman G,Greater Chennai Corporation,Assistant Engineer (Sanitation),Zone 11 Corporation Office,ACTIVE,4.4,2026-08-09,https://images.unsplash.com/photo-1463453091185-61582044d556?w=150&auto=format&fit=crop&q=80
TN-TNP-30005,Arun Prakash,TANGEDCO (Electricity Board),Junior Engineer,Ramapuram EB Office,ACTIVE,4.2,2026-07-19,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=150&auto=format&fit=crop&q=80
TN-POL-10009,Nalini Natarajan,Tamil Nadu Police,Women Help Desk Officer,Guindy Police Station,ACTIVE,4.9,2026-08-06,https://images.unsplash.com/photo-1548142813-c348350df52b?w=150&auto=format&fit=crop&q=80
TN-POL-10010,Santhosh Kumar,Tamil Nadu Police,Highway Patrol Inspector,GST Road Patrol Unit,ACTIVE,4.6,2026-08-01,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=150&auto=format&fit=crop&q=80
