trip_id,corporation,route_code,origin,destination,distance_km,hour_of_day,day_of_week,is_peak_hour,weather_condition,traffic_density_index,passenger_occupancy_percent,actual_delay_mins,fuel_consumed_liters
TN-SETC-902X-0001,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,8,0,1,Fog,0.77,99,21.4,240.9
TN-TRY-SRM-0002,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,7,4,0,Rain,0.31,35,20.3,5.7
TN-70H-0003,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,22,1,0,Fog,0.49,64,15.5,7.9
TN-CBE-101-0004,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,5,6,0,Clear,0.51,51,14.8,5.8
TN-CBE-PLK-0005,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,8,0,1,Rain,0.83,107,39.3,26.7
TN-SLM-301-0006,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,22,0,0,Rain,0.34,48,26.7,20.7
TN-MDU-201-0007,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,23,1,0,Fog,0.23,72,6.0,4.9
TN-21G-0008,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,12,6,0,Clear,0.37,59,13.8,9.2
TN-MDU-201-0009,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,16,1,0,Fog,0.32,73,12.4,5.5
TN-11G-0010,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,22,5,0,Clear,0.27,54,7.5,7.9
TN-TRY-SRM-0011,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,12,5,0,Clear,0.58,33,16.5,5.3
TN-CBE-PLK-0012,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,17,2,1,Clear,0.75,121,27.4,25.3
TN-SETC-902X-0013,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,20,3,1,Fog,0.82,100,22.9,245.3
TN-TRY-SRM-0014,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,13,5,0,Monsoon_Heavy,0.59,67,43.3,5.7
TN-5E-0015,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,21,3,0,Clear,0.54,37,14.6,7.9
TN-MDU-KODAI-0016,TNSTC_MADURAI,MDU-KODAI,Madurai Arapalayam,Kodaikanal Bus Stand,115.0,7,3,0,Rain,0.57,59,30.9,63.5
TN-70H-0017,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,8,5,1,Monsoon_Heavy,0.98,126,54.5,8.7
TN-11G-0018,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,19,0,1,Fog,0.93,101,33.6,9.0
TN-TRY-401-0019,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,8,6,1,Fog,0.78,125,25.0,30.4
TN-MDU-201-0020,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,10,4,1,Monsoon_Heavy,0.98,123,54.3,5.6
TN-MDU-201-0021,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,14,1,0,Clear,0.31,66,14.8,4.6
TN-SLM-ERD-0022,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,7,6,0,Monsoon_Heavy,0.74,38,50.1,36.4
TN-11G-0023,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,13,4,0,Monsoon_Heavy,0.59,43,48.1,8.3
TN-570-0024,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,14,3,0,Fog,0.49,58,19.8,19.6
TN-D70-0025,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,12,0,0,Clear,0.21,65,5.4,13.3
TN-21G-0026,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,6,1,0,Clear,0.61,51,15.9,9.6
TN-SLM-ERD-0027,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,11,4,0,Clear,0.53,66,18.1,33.1
TN-SLM-ERD-0028,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,18,1,1,Clear,0.73,112,22.1,35.4
TN-101A-0029,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,8,0,1,Rain,0.98,91,40.6,10.3
TN-SLM-301-0030,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,9,3,1,Clear,0.77,100,28.0,22.5
TN-TRY-SRM-0031,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,8,0,1,Fog,0.96,85,34.5,7.5
TN-D70-0032,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,10,3,1,Rain,0.93,110,45.0,16.3
TN-70H-0033,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,17,2,1,Rain,0.87,120,41.1,8.8
TN-570-0034,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,14,1,0,Clear,0.46,64,11.3,19.2
TN-101A-0035,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,23,3,0,Monsoon_Heavy,0.81,63,47.7,11.1
TN-21G-0036,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,10,0,1,Monsoon_Heavy,0.92,100,53.2,11.7
TN-SETC-108X-0037,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,12,4,0,Monsoon_Heavy,0.42,35,38.4,71.6
TN-TRY-401-0038,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,15,2,0,Clear,0.5,50,14.1,28.4
TN-SETC-902X-0039,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,14,3,0,Clear,0.62,34,15.7,231.8
TN-SETC-108X-0040,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,8,0,1,Monsoon_Heavy,0.96,100,52.0,82.9
TN-21G-0041,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,12,2,0,Clear,0.27,64,11.4,9.3
TN-SETC-902X-0042,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,21,0,0,Fog,0.57,49,22.5,227.6
TN-5E-0043,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,13,0,0,Clear,0.53,39,15.4,8.6
TN-CBE-PLK-0044,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,11,5,0,Fog,0.58,62,18.8,25.1
TN-101A-0045,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,7,5,0,Rain,0.67,32,29.1,10.4
TN-SETC-902X-0046,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,13,1,0,Fog,0.4,75,12.8,216.1
TN-21G-0047,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,9,4,1,Clear,0.92,122,29.6,10.8
TN-101A-0048,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,14,2,0,Clear,0.6,43,21.1,10.1
TN-MDU-201-0049,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,22,6,0,Rain,0.74,39,39.5,5.6
TN-11G-0050,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,10,3,1,Clear,0.75,106,26.5,8.0
TN-D70-0051,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,13,1,0,Fog,0.25,32,12.2,13.5
TN-SLM-301-0052,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,16,2,0,Clear,0.3,72,7.7,19.9
TN-21G-0053,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,13,2,0,Fog,0.43,73,18.7,9.6
TN-70H-0054,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,8,2,1,Clear,0.85,101,22.8,8.9
TN-MDU-201-0055,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,15,3,0,Monsoon_Heavy,0.84,37,50.7,6.3
TN-CBE-101-0056,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,6,5,0,Rain,0.3,64,24.2,6.6
TN-570-0057,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,16,3,0,Clear,0.63,51,21.5,20.8
TN-23C-0058,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,14,4,0,Clear,0.5,50,15.6,7.1
TN-5E-0059,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,11,3,0,Fog,0.62,73,22.3,8.1
TN-SETC-108X-0060,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,14,3,0,Monsoon_Heavy,0.78,49,48.0,79.2
TN-SETC-108X-0061,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,15,3,0,Rain,0.5,43,28.6,73.7
TN-11G-0062,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,7,2,0,Monsoon_Heavy,0.7,69,46.0,8.6
TN-D70-0063,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,14,1,0,Clear,0.27,32,7.3,14.0
TN-21G-0064,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,19,3,1,Fog,0.85,109,26.9,10.3
TN-SETC-902X-0065,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,5,6,0,Clear,0.55,44,15.1,227.7
TN-TRY-401-0066,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,19,0,1,Monsoon_Heavy,0.96,92,54.9,32.9
TN-TRY-401-0067,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,22,4,0,Clear,0.63,58,21.4,30.0
TN-TRY-401-0068,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,18,6,1,Monsoon_Heavy,0.98,95,58.1,32.5
TN-CBE-101-0069,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,12,6,0,Fog,0.32,63,11.0,5.5
TN-SLM-301-0070,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,7,5,0,Clear,0.31,51,9.2,20.4
TN-5E-0071,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,9,1,1,Rain,0.98,98,39.0,9.3
TN-TRY-SRM-0072,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,19,3,1,Clear,0.75,111,23.0,6.9
TN-70H-0073,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,23,3,0,Rain,0.3,52,20.7,7.3
TN-MDU-KODAI-0074,TNSTC_MADURAI,MDU-KODAI,Madurai Arapalayam,Kodaikanal Bus Stand,115.0,22,5,0,Fog,0.45,68,18.6,60.5
TN-CBE-101-0075,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,18,3,1,Clear,0.8,127,27.1,6.6
TN-11G-0076,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,19,1,1,Monsoon_Heavy,0.98,110,56.7,9.0
TN-21G-0077,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,18,1,1,Rain,0.85,101,37.9,10.2
TN-CBE-PLK-0078,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,15,6,0,Rain,0.43,56,24.2,22.6
TN-70H-0079,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,22,0,0,Clear,0.3,34,13.0,7.8
