vehicle_id,bus_number,route_id,current_lat,current_lng,speed_kmh,occupancy_percent,next_stop_id,eta_mins
BUS-001,TN-01-N-1001,R-70,13.0404,80.1899,15,22,STOP-040,6
BUS-002,TN-01-N-1002,R-18B,13.0717,80.2581,33,70,STOP-002,6
BUS-003,TN-01-N-1003,R-570,13.003,80.2521,33,21,STOP-049,8
BUS-004,TN-01-N-1004,R-25G,13.0672,80.2774,27,78,STOP-014,14
BUS-005,TN-01-N-1005,R-11G,13.0327,80.1679,40,67,STOP-033,2
BUS-006,TN-01-N-1006,R-29C,13.0377,80.2358,18,36,STOP-016,17
BUS-007,TN-01-N-1007,R-5B,13.0429,80.2247,33,64,STOP-012,3
BUS-008,TN-01-N-1008,R-45B,13.0241,80.2466,27,35,STOP-030,11
BUS-009,TN-01-N-1009,R-M70,13.0431,80.1487,42,88,STOP-023,6
BUS-010,TN-01-N-1010,R-70V,13.0246,80.1838,45,85,STOP-044,7
BUS-011,TN-01-N-1011,R-570S,13.0524,80.1748,24,27,STOP-037,16
BUS-012,TN-01-N-1012,R-170X,13.0883,80.1428,41,31,STOP-029,5
BUS-013,TN-01-N-1013,R-D51,13.0037,80.1793,19,23,STOP-035,4
BUS-014,TN-01-N-1014,R-27B,13.0295,80.2443,21,93,STOP-019,9
BUS-015,TN-01-N-1015,R-88K,13.0225,80.2765,40,49,STOP-036,6
BUS-016,TN-01-N-1016,R-12B,13.0275,80.1685,25,38,STOP-035,8
BUS-017,TN-01-N-1017,R-A1,13.0035,80.271,39,65,STOP-032,18
BUS-018,TN-01-N-1018,R-102,13.0202,80.1594,20,42,STOP-004,15
BUS-019,TN-01-N-1019,R-47,13.0735,80.2081,45,48,STOP-011,11
BUS-020,TN-01-N-1020,R-21G,13.0528,80.1584,42,62,STOP-019,15
BUS-021,TN-01-N-1021,R-70,13.0045,80.1678,43,26,STOP-038,13
BUS-022,TN-01-N-1022,R-18B,13.0663,80.2421,31,42,STOP-001,15
BUS-023,TN-01-N-1023,R-570,13.0377,80.2693,40,45,STOP-048,11
BUS-024,TN-01-N-1024,R-25G,13.0561,80.2476,21,83,STOP-019,8
BUS-025,TN-01-N-1025,R-11G,13.0519,80.2223,15,21,STOP-043,15
BUS-026,TN-01-N-1026,R-29C,13.056,80.2747,30,67,STOP-041,12
BUS-027,TN-01-N-1027,R-5B,13.0618,80.2143,43,38,STOP-043,14
BUS-028,TN-01-N-1028,R-45B,13.0696,80.1568,33,23,STOP-049,5
BUS-029,TN-01-N-1029,R-M70,13.0317,80.197,20,85,STOP-021,3
BUS-030,TN-01-N-1030,R-70V,13.0386,80.2461,30,50,STOP-035,15
BUS-031,TN-01-N-1031,R-570S,13.0262,80.2361,15,64,STOP-016,11
BUS-032,TN-01-N-1032,R-170X,13.0788,80.192,41,51,STOP-043,17
BUS-033,TN-01-N-1033,R-D51,13.0496,80.2631,29,44,STOP-021,5
BUS-034,TN-01-N-1034,R-27B,13.0655,80.2153,25,56,STOP-050,16
BUS-035,TN-01-N-1035,R-88K,13.017,80.1834,20,40,STOP-039,10
BUS-036,TN-01-N-1036,R-12B,13.0894,80.2145,36,30,STOP-047,10
BUS-037,TN-01-N-1037,R-A1,13.0786,80.1667,32,43,STOP-046,10
BUS-038,TN-01-N-1038,R-102,13.0767,80.2492,30,73,STOP-025,2
BUS-039,TN-01-N-1039,R-47,13.0775,80.2707,16,49,STOP-047,2
BUS-040,TN-01-N-1040,R-21G,13.0697,80.2006,16,65,STOP-045,2
BUS-041,TN-01-N-1041,R-70,13.0471,80.16,35,49,STOP-010,2
BUS-042,TN-01-N-1042,R-18B,13.0687,80.197,33,67,STOP-042,12
BUS-043,TN-01-N-1043,R-570,13.041,80.1986,29,43,STOP-032,3
BUS-044,TN-01-N-1044,R-25G,13.0758,80.2006,18,93,STOP-013,16
BUS-045,TN-01-N-1045,R-11G,13.0,80.1601,29,67,STOP-005,4
BUS-046,TN-01-N-1046,R-29C,13.0113,80.2468,33,80,STOP-010,14
BUS-047,TN-01-N-1047,R-5B,13.0437,80.2162,25,28,STOP-044,12
BUS-048,TN-01-N-1048,R-45B,13.029,80.2062,35,85,STOP-033,16
BUS-049,TN-01-N-1049,R-M70,13.0666,80.2001,28,30,STOP-003,11
BUS-050,TN-01-N-1050,R-70V,13.0076,80.2769,25,36,STOP-009,2
BUS-051,TN-01-N-1051,R-570S,13.0424,80.2474,32,86,STOP-030,6
BUS-052,TN-01-N-1052,R-170X,13.0681,80.2181,21,91,STOP-001,6
BUS-053,TN-01-N-1053,R-D51,13.0573,80.234,24,51,STOP-009,5
BUS-054,TN-01-N-1054,R-27B,13.0721,80.2511,31,20,STOP-040,6
BUS-055,TN-01-N-1055,R-88K,13.0388,80.2564,43,23,STOP-016,17
BUS-056,TN-01-N-1056,R-12B,13.0431,80.2419,17,42,STOP-044,7
BUS-057,TN-01-N-1057,R-A1,13.0768,80.2368,21,67,STOP-050,16
BUS-058,TN-01-N-1058,R-102,13.0482,80.1769,24,57,STOP-018,4
BUS-059,TN-01-N-1059,R-47,13.0174,80.2059,26,83,STOP-015,14
BUS-060,TN-01-N-1060,R-21G,13.045,80.2081,42,79,STOP-049,13
BUS-061,TN-01-N-1061,R-70,13.0697,80.197,27,25,STOP-049,16
BUS-062,TN-01-N-1062,R-18B,13.0103,80.2293,21,37,STOP-038,13
BUS-063,TN-01-N-1063,R-570,13.0885,80.168,38,44,STOP-039,9
BUS-064,TN-01-N-1064,R-25G,13.0309,80.168,21,56,STOP-030,8
BUS-065,TN-01-N-1065,R-11G,13.0609,80.2439,43,37,STOP-001,12
BUS-066,TN-01-N-1066,R-29C,13.0848,80.1599,34,38,STOP-038,3
BUS-067,TN-01-N-1067,R-5B,13.0553,80.2283,20,25,STOP-025,4
BUS-068,TN-01-N-1068,R-45B,13.0154,80.2297,29,58,STOP-025,13
BUS-069,TN-01-N-1069,R-M70,13.0799,80.1553,29,69,STOP-030,11
BUS-070,TN-01-N-1070,R-70V,13.0387,80.2263,26,55,STOP-006,3
BUS-071,TN-01-N-1071,R-570S,13.0756,80.2316,30,57,STOP-009,12
BUS-072,TN-01-N-1072,R-170X,13.0871,80.2709,31,67,STOP-032,6
BUS-073,TN-01-N-1073,R-D51,13.0606,80.2602,40,54,STOP-044,8
BUS-074,TN-01-N-1074,R-27B,13.0036,80.2497,43,24,STOP-002,6
BUS-075,TN-01-N-1075,R-88K,13.031,80.1868,22,21,STOP-015,3
BUS-076,TN-01-N-1076,R-12B,13.0754,80.1977,29,89,STOP-023,5
BUS-077,TN-01-N-1077,R-A1,13.069,80.256,31,83,STOP-024,11
BUS-078,TN-01-N-1078,R-102,13.0295,80.2571,19,32,STOP-005,8
BUS-079,TN-01-N-1079,R-47,13.0075,80.1541,22,24,STOP-007,7
BUS-080,TN-01-N-1080,R-21G,13.0117,80.1635,28,38,STOP-043,8
BUS-081,TN-01-N-1081,R-70,13.0629,80.2292,16,24,STOP-020,11
BUS-082,TN-01-N-1082,R-18B,13.0058,80.221,30,34,STOP-037,8
BUS-083,TN-01-N-1083,R-570,13.0754,80.1978,32,64,STOP-045,9
BUS-084,TN-01-N-1084,R-25G,13.0877,80.2247,31,38,STOP-023,7
BUS-085,TN-01-N-1085,R-11G,13.0254,80.1433,23,88,STOP-028,15
BUS-086,TN-01-N-1086,R-29C,13.0047,80.262,18,26,STOP-022,9
BUS-087,TN-01-N-1087,R-5B,13.0635,80.1839,38,55,STOP-037,10
BUS-088,TN-01-N-1088,R-45B,13.0799,80.2117,41,47,STOP-041,5
BUS-089,TN-01-N-1089,R-M70,13.0141,80.1995,26,72,STOP-024,8
